vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0014,01,Partido Obrero                               
0023,01,Unión Popular                                
0030,01,Partido Socialista Auténtico                 
0037,01,Movimiento por la Dignidad y la Independencia
0038,01,Movimiento Socialista de los Trabajadores    
0048,01,Recrear para el Crecimiento                  
0051,01,Partido Popular de la Reconstrucción         
0056,01,El Movimiento de las Provincias Unidas       
0057,01,Movimiento de Acción Vecinal                 
0059,01,Confederación Coalición Cívica               
0060,01,Movimiento Independiente de Jubilados y Desoc
0131,01,Alianza Concertación UNA                     
0132,01,Alianza F.R.A.L.Frente Amplio hacia la Unidad
0133,01,"Alianza Frente Justicia, Unión y Libertad    "
0134,01,Alianza Frente para la Victoria              
0135,01,Alianza Frente PTS-MAS Izquierda Socialista  
0254,01,Confederación Lealtad Popular                
0014,02,Partido Obrero                               
0023,02,Unión Popular                                
0030,02,Partido Socialista Auténtico                 
0037,02,Movimiento por la Dignidad y la Independencia
0038,02,Movimiento Socialista de los Trabajadores    
0048,02,Recrear para el Crecimiento                  
0051,02,Partido Popular de la Reconstrucción         
0056,02,El Movimiento de las Provincias Unidas       
0057,02,Movimiento de Acción Vecinal                 
0059,02,Confederación Coalición Cívica               
0060,02,Movimiento Independiente de Jubilados y Desoc
0131,02,Alianza Concertación UNA                     
0132,02,Alianza F.R.A.L.Frente Amplio hacia la Unidad
0133,02,"Alianza Frente Justicia, Unión y Libertad    "
0134,02,Alianza Frente para la Victoria              
0135,02,Alianza Frente PTS-MAS Izquierda Socialista  
0254,02,Confederación Lealtad Popular                
0014,03,Partido Obrero                               
0023,03,Unión Popular                                
0030,03,Partido Socialista Auténtico                 
0037,03,Movimiento por la Dignidad y la Independencia
0038,03,Movimiento Socialista de los Trabajadores    
0048,03,Recrear para el Crecimiento                  
0051,03,Partido Popular de la Reconstrucción         
0056,03,El Movimiento de las Provincias Unidas       
0057,03,Movimiento de Acción Vecinal                 
0059,03,Confederación Coalición Cívica               
0060,03,Movimiento Independiente de Jubilados y Desoc
0131,03,Alianza Concertación UNA                     
0132,03,Alianza F.R.A.L.Frente Amplio hacia la Unidad
0133,03,"Alianza Frente Justicia, Unión y Libertad    "
0134,03,Alianza Frente para la Victoria              
0135,03,Alianza Frente PTS-MAS Izquierda Socialista  
0254,03,Confederación Lealtad Popular                
0014,04,Partido Obrero                               
0023,04,Unión Popular                                
0030,04,Partido Socialista Auténtico                 
0037,04,Movimiento por la Dignidad y la Independencia
0038,04,Movimiento Socialista de los Trabajadores    
0048,04,Recrear para el Crecimiento                  
0051,04,Partido Popular de la Reconstrucción         
0056,04,El Movimiento de las Provincias Unidas       
0057,04,Movimiento de Acción Vecinal                 
0059,04,Confederación Coalición Cívica               
