vot_parCodigo,vot_proCodigoProvincia,parDenominacion
0003,01,Unión Cívica Radical                         
0005,01,Partido Demócrata Cristiano                  
0009,01,Demócrata Progresista                        
0014,01,Partido Obrero                               
0020,01,Unión de Centro Democrático                  
0023,01,Unión Popular                                
0036,01,Autonomista                                  
0037,01,Movimiento por la Dignidad y la Independencia
0038,01,Movimiento Socialista de los Trabajadores    
0051,01,Partido Popular de la Reconstrucción         
0060,01,Movimiento Independiente de Jubilados y Desoc
0131,01,Alianza Concertación UNA                     
0134,01,Alianza Frente para la Victoria              
0135,01,Alianza Frente PTS-MAS Izquierda Socialista  
0136,01,Alianza Propuesta Republicana                
0138,01,Alianza Proyecto Sur                         
0139,01,Alianza El Movimiento de las Provincias Unida
0140,01,Acción Ciudadana                             
0141,01,Convergencia Socialista                      
0142,01,Liga Socialista Revolucionaria               
0143,01,El Movimiento                                
0144,01,Convocatoria de Integración Ciudadana        
0145,01,Consenso Porteño                             
0146,01,Asambleas Populares                          
0147,01,Fuerza Independiente de Centro               
0188,01,Alianza F.R.A.L.Frente Amplio para la Unidad 
0252,01,Al. Coalición Cívica                         
0332,01,"Alianza Frente Justicia, Unión y Libertad    "
0014,06,Partido Obrero                               
0047,06,Afirmación Para Una República Igualitaria    
0060,06,Movimiento Independiente de Jubilados y Desoc
0163,06,Alianza Frente de todos                      
0168,06,Alianza Frente Soberanía Popular             
0169,06,Alianza Frente Justicialista Chaco Merece Más
0170,06,Lealtad Popular                              
0171,06,Nueva Generación                             
0005,08,Partido Demócrata Cristiano                  
0038,08,Movimiento Socialista de los Trabajadores    
0044,08,Acción por la República                      
0048,08,Recrear para el Crecimiento                  
0051,08,Partido Popular de la Reconstrucción         
0059,08,Confederación Coalición Cívica               
0131,08,Alianza Concertación UNA                     
0132,08,Alianza F.R.A.L.Frente Amplio hacia la Unidad
0133,08,"Alianza Frente Justicia, Unión y Libertad    "
0134,08,Alianza Frente para la Victoria              
0154,08,Política Abierta Para la Integridad Social   
0309,08,Encuentro Amplio Entrerriano                 
0001,15,Movimiento de Integración y Desarrollo       
0006,15,Intransigente                                
0045,15,de los Trabajadores Socialista               
0048,15,Recrear para el Crecimiento                  
0178,15,ARI - Partido Socialista                     
0179,15,Movimiento Popular Neuquino                  
0180,15,Del Obrero                                   
0181,15,Nueva Izquierda                              
0187,15,Alianza Frente para la Victoria              
0440,15,Partido Popular Distrito Neuquen             
0441,15,Frente Amplio Hacia la Unidad Latinoamericana
0276,16,Partido Obrero - Rio Negro                   
0277,16,Afirmación p/una República Igualitaria- Rio N
0278,16,Partido Socialista - Rio Negro               
0279,16,El Movimiento de la Provincias Unidas - Rio N
0280,16,Al. Concertación para el Desarrollo - Rio Neg
0281,16,Al. Fte. Amplio hacia la Unidad Latinoa.-Rio 
0282,16,Al. Frente para la Victoria - Rio Negro      
0283,16,Al. Concertación UNA - UCR - MID - PPR - Rio 
0005,17,Partido Demócrata Cristiano                  
0014,17,Partido Obrero                               
0038,17,Movimiento Socialista de los Trabajadores    
0048,17,Recrear para el Crecimiento                  
0056,17,El Movimiento de las Provincias Unidas       
0060,17,Movimiento Independiente de Jubilados y Desoc
0132,17,Alianza F.R.A.L.Frente Amplio hacia la Unidad
0302,17,Movimiento Popular Salteño                   
0303,17,Propuesta Salteña                            
0304,17,Movimiento Futura República- MO.FUR.         
0305,17,Fte. para la Victoria-P. Renovador de Salta  
0306,17,Encuentro Popular Amplio                     
0307,17,Coalición Cívica Salta                       
0308,17,Concertación Para una Nación Avanzada        
0439,17,P.Justicialista-Fte.Just. p/la Victoria-FRE.J
0001,22,Movimiento de Integración y Desarrollo       
0005,22,Partido Demócrata Cristiano                  
0012,22,Partido Comunista                            
0014,22,Partido Obrero                               
0017,22,Progreso Social                              
0038,22,Movimiento Socialista de los Trabajadores    
0050,22,Partido Socialista                           
0056,22,El Movimiento de las Provincias Unidas       
0060,22,Movimiento Independiente de Jubilados y Desoc
0175,22,Alianza Frente Justicialista para la Victoria
0187,22,Alianza Frente para la Victoria              
0209,22,Al. Fte. Cívico por Santiago                 
0210,22,Propuesta Republicana  (PRO)                 
0211,22,De la Corriente Renovadora                   
0212,22,Mov. Santiago Viable                         
0213,22,Una Nueva Opción                             
0442,22,Frente Justicia Unión y Libertad             
0003,24,Unión Cívica Radical                         
0005,24,Partido Demócrata Cristiano                  
0022,24,Partido Humanista                            
0047,24,Afirmación Para Una República Igualitaria    
0050,24,Partido Socialista                           
0052,24,Unión y Libertad                             
0055,24,Compromiso para el Cambio                    
0187,24,Alianza Frente para la Victoria              
0245,24,Justicia Democracia y Patria                 
0249,24,Compromiso K                                 
0250,24,Unidad Federalista (PAUFE)                   
0436,24,Movimiento Popular Fueguino                  
0437,24,Frente de Acción Fueguino                    
0438,24,P. Auténtico Fueguino (PAF)                  
