codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0501,0520
09,Formosa,001,0001 ,0001,348,22,3,135,119
09,Formosa,001,0001 ,0002,347,21,0,134,99
09,Formosa,001,0001 ,0003,347,34,0,129,113
09,Formosa,001,0001 ,0004,347,32,0,126,105
09,Formosa,001,0001 ,0005,348,27,2,141,81
09,Formosa,001,0001 ,0006,347,51,8,118,97
09,Formosa,001,0001 ,0007,349,31,4,109,115
09,Formosa,001,0001 ,0008,346,30,0,124,110
09,Formosa,001,0001 ,0009,347,40,0,120,123
09,Formosa,001,0001 ,0010,347,30,0,108,115
09,Formosa,001,0001 ,0011,348,28,5,125,113
09,Formosa,001,0001 ,0012,348,33,4,129,110
09,Formosa,001,0001 ,0013,347,26,1,130,111
09,Formosa,001,0001 ,0014,347,36,2,123,101
09,Formosa,001,0001 ,0015,347,87,0,94,79
09,Formosa,001,0001 ,0016,346,4,0,127,107
09,Formosa,001,0001 ,0017,347,33,1,127,106
09,Formosa,001,0001 ,0018,345,72,0,95,96
09,Formosa,001,0001 ,0019,347,79,0,126,68
09,Formosa,001,0001 ,0020,347,29,0,122,103
09,Formosa,001,0001 ,0021,347,26,1,125,107
09,Formosa,001,0001 ,0022,347,15,4,121,112
09,Formosa,001,0001 ,0023,347,36,1,0,0
09,Formosa,001,0001 ,0024,347,30,0,125,92
09,Formosa,001,0001 ,0025,347,63,3,138,50
09,Formosa,001,0001 ,0026,348,34,4,123,106
09,Formosa,001,0001 ,0027,347,29,1,114,124
09,Formosa,001,0001 ,0028,347,37,4,124,0
09,Formosa,001,0001 ,0029,347,37,0,123,95
09,Formosa,001,0001 ,0030,347,40,0,135,96
09,Formosa,001,0001 ,0031,347,39,2,127,98
09,Formosa,001,0001 ,0032,345,29,0,144,86
09,Formosa,001,0001 ,0033,347,32,1,160,93
09,Formosa,001,0001 ,0034,347,13,0,104,152
09,Formosa,001,0001 ,0035,349,34,2,118,109
09,Formosa,001,0001 ,0036,347,1,4,112,107
09,Formosa,001,0001 ,0037,347,35,3,133,91
09,Formosa,001,0001 ,0038,346,37,1,134,87
09,Formosa,001,0001 ,0039,347,36,2,129,98
09,Formosa,001,0001 ,0040,347,31,1,131,103
09,Formosa,001,0001 ,0041,346,34,1,116,112
09,Formosa,001,0001 ,0042,348,30,1,140,97
09,Formosa,001,0001 ,0043,346,33,5,133,93
09,Formosa,001,0001 ,0044,347,38,2,131,84
09,Formosa,001,0001 ,0045,347,1,1,125,116
09,Formosa,001,0001 ,0046,346,34,1,137,97
09,Formosa,001,0001 ,0047,346,136,1,41,84
09,Formosa,001,0001 ,0048,346,32,0,137,114
09,Formosa,001,0001 ,0049,346,82,0,119,68
09,Formosa,001,0001 ,0050,347,25,0,132,104
09,Formosa,001,0001 ,0051,346,0,0,0,0
09,Formosa,001,0001 ,0052,346,28,1,143,87
09,Formosa,001,0001 ,0053,346,20,1,137,116
09,Formosa,001,0001 ,0054,344,34,2,123,105
09,Formosa,001,0001 ,0055,346,45,7,107,101
09,Formosa,001,0002 ,0056,346,25,0,87,123
09,Formosa,001,0002 ,0057,344,28,0,109,126
09,Formosa,001,0002 ,0058,345,29,0,86,130
09,Formosa,001,0002 ,0059,345,38,1,97,122
09,Formosa,001,0002 ,0060,345,22,1,97,121
09,Formosa,001,0002 ,0061,345,22,0,97,144
09,Formosa,001,0002 ,0062,345,59,1,73,124
09,Formosa,001,0002 ,0063,345,125,2,91,24
09,Formosa,001,0002 ,0064,346,45,0,101,107
09,Formosa,001,0002 ,0065,345,20,1,78,149
09,Formosa,001,0002 ,0066,345,0,0,81,136
09,Formosa,001,0002 ,0067,344,31,7,104,121
09,Formosa,001,0002 ,0068,345,22,4,101,122
09,Formosa,001,0002 ,0069,344,38,0,91,115
09,Formosa,001,0002 ,0070,342,28,1,90,116
09,Formosa,001,0002 ,0071,345,24,3,94,137
09,Formosa,001,0002 ,0072,344,25,4,108,109
09,Formosa,001,0002 ,0073,344,20,0,87,149
09,Formosa,001,0002 ,0074,345,28,2,76,144
09,Formosa,001,0003 ,0075,348,39,0,158,99
09,Formosa,001,0003 ,0076,348,85,0,149,67
09,Formosa,001,0003 ,0077,349,32,2,155,99
09,Formosa,001,0003 ,0078,348,32,3,133,112
09,Formosa,001,0003 ,0079,348,28,3,0,0
09,Formosa,001,0003 ,0080,347,43,2,136,99
09,Formosa,001,0003 ,0081,348,39,1,134,110
09,Formosa,001,0003 ,0082,348,38,2,143,97
09,Formosa,001,0003 ,0083,348,13,1,139,96
09,Formosa,001,0003 ,0084,348,41,1,132,122
09,Formosa,001,0003 ,0085,348,34,0,127,115
09,Formosa,001,0003 ,0086,348,28,1,152,118
09,Formosa,001,0003 ,0087,348,23,2,168,92
09,Formosa,001,0003 ,0088,349,35,2,159,88
09,Formosa,001,0003 ,0089,349,37,5,158,87
09,Formosa,001,0003 ,0090,348,30,3,125,136
09,Formosa,001,0003 ,0091,348,44,1,147,95
09,Formosa,001,0003 ,0092,348,36,0,137,114
09,Formosa,001,0003 ,0093,347,44,6,122,109
09,Formosa,001,0003 ,0094,348,36,3,157,96
09,Formosa,001,0003 ,0095,346,21,2,124,131
09,Formosa,001,0003 ,0096,349,18,0,161,99
09,Formosa,001,0003 ,0097,348,33,1,140,109
09,Formosa,001,0003 ,0098,348,3,2,153,91
09,Formosa,001,0003 ,0099,348,34,3,132,117
09,Formosa,001,0003 ,0100,349,0,0,0,0
09,Formosa,001,0003 ,0101,348,44,2,149,89
09,Formosa,001,0003 ,0102,348,116,3,140,89
09,Formosa,001,0003 ,0103,348,29,8,147,100
09,Formosa,001,0003 ,0104,348,0,4,135,102
09,Formosa,001,0003 ,0105,348,35,2,145,103
09,Formosa,001,0003 ,0106,348,34,5,145,92
09,Formosa,001,0003 ,0107,349,34,4,148,91
09,Formosa,001,0003 ,0108,348,29,3,149,103
09,Formosa,001,0003 ,0109,348,38,5,149,94
09,Formosa,001,0003 ,0110,348,40,0,165,82
09,Formosa,001,0003 ,0111,348,35,2,128,114
09,Formosa,001,0003 ,0112,348,36,4,123,109
09,Formosa,001,0003 ,0113,348,35,1,148,88
09,Formosa,001,0003 ,0114,347,35,4,136,111
09,Formosa,001,0003 ,0115,348,35,1,164,92
09,Formosa,001,0003 ,0116,348,29,0,159,105
09,Formosa,001,0003 ,0117,348,28,0,155,99
09,Formosa,001,0003 ,0118,348,34,3,117,131
09,Formosa,001,0003 ,0119,348,42,0,149,95
09,Formosa,001,0003 ,0120,348,30,1,141,119
09,Formosa,001,0003 ,0121,348,51,0,157,82
09,Formosa,001,0003 ,0122,348,27,2,132,126
09,Formosa,001,0003 ,0123,348,30,2,141,116
09,Formosa,001,0003 ,0124,350,56,1,155,72
09,Formosa,001,0003 ,0125,348,26,0,148,119
09,Formosa,001,0003 ,0126,348,33,2,158,94
09,Formosa,001,0003 ,0127,348,45,1,134,114
