codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0030,0033,0036,0037,0038,0042,0045,0122,0123,0127,0512,0524,0534
21,Belgrano,001,0402 ,0001,900,19,6,12,4,2,2,0,6,6,8,2,4,12,418,300,34
21,Belgrano,001,0402 ,0002,900,18,4,2,6,2,2,6,2,10,8,4,2,12,370,318,26
21,Belgrano,001,0402 ,0003,900,27,0,4,10,6,0,6,0,12,4,2,2,14,298,358,24
21,Belgrano,001,0402 ,0004,900,39,0,6,16,2,0,2,4,10,6,4,4,10,348,308,30
21,Belgrano,001,0402 ,0005,900,27,0,6,2,2,0,6,0,22,2,0,2,10,344,336,20
21,Belgrano,001,0402 ,0006,900,28,2,2,16,6,2,4,0,18,4,0,4,10,356,302,24
21,Belgrano,001,0402 ,0007,900,28,3,8,12,2,0,0,2,6,8,2,6,10,340,310,26
21,Belgrano,001,0402 ,0008,900,28,2,6,12,2,4,4,6,12,4,2,4,2,344,354,26
21,Belgrano,001,0402 ,0009,900,26,5,6,12,4,4,6,2,12,6,2,4,10,330,322,26
21,Belgrano,001,0402 ,0010,804,24,4,4,18,2,4,2,0,6,2,2,2,6,348,280,30
21,Belgrano,001,0402 ,0011,227,7,0,0,3,0,1,1,1,2,0,2,0,2,74,95,4
21,Belgrano,001,0403 ,0011,450,24,0,2,16,2,4,3,4,4,1,0,0,5,221,81,13
21,Belgrano,001,0403 ,0012,900,42,0,10,24,6,8,2,8,8,6,10,4,16,386,228,46
21,Belgrano,001,0403 ,0013,900,46,0,12,14,6,4,4,4,8,4,4,6,6,446,254,42
21,Belgrano,001,0403 ,0014,900,47,0,8,24,8,0,0,0,4,2,4,4,12,410,246,34
21,Belgrano,001,0403 ,0015,900,47,0,12,20,8,2,6,8,12,8,4,10,16,406,240,36
21,Belgrano,001,0403 ,0016,900,42,0,8,22,12,4,10,4,16,4,0,8,14,388,224,46
21,Belgrano,001,0403 ,0017,900,53,0,6,14,8,4,2,6,10,0,2,2,14,420,206,30
21,Belgrano,001,0403 ,0018,900,20,0,8,10,12,4,4,6,14,2,6,6,12,450,226,42
